Frequency (Hz)	Level (dB)
5.383301	-96.185966
10.766602	-96.145325
16.149902	-96.126114
21.533203	-96.160103
26.916504	-96.130417
32.299805	-96.112671
37.683105	-96.096985
43.066406	-96.057610
48.449707	-96.065300
53.833008	-95.987457
59.216309	-96.033424
64.599609	-95.933975
69.982910	-95.949791
75.366211	-95.871605
80.749512	-95.836182
86.132812	-95.834145
91.516113	-95.673569
96.899414	-95.665741
102.282715	-95.737038
107.666016	-95.618652
113.049316	-93.571953
118.432617	-92.877251
123.815918	-91.438759
129.199219	-91.610016
134.582520	-93.016556
139.965820	-93.221573
145.349121	-91.817596
150.732422	-90.775269
156.115723	-98.043846
161.499023	-87.476494
166.882324	-83.825447
172.265625	-86.766479
177.648926	-78.631744
183.032227	-79.756630
188.415527	-74.406960
193.798828	-75.274597
199.182129	-70.546402
204.565430	-65.590034
209.948730	-65.904823
215.332031	-70.360901
220.715332	-75.248070
226.098633	-67.109299
231.481934	-64.717300
236.865234	-65.870522
242.248535	-61.933739
247.631836	-56.378719
253.015137	-58.838646
258.398438	-63.339111
263.781738	-69.968559
269.165039	-67.733093
274.548340	-63.415730
279.931641	-65.616203
285.314941	-54.451042
290.698242	-53.585926
296.081543	-59.017178
301.464844	-51.633801
306.848145	-49.317593
312.231445	-54.057056
317.614746	-56.924500
322.998047	-58.553802
328.381348	-52.761997
333.764648	-42.767914
339.147949	-42.770748
344.531250	-46.118874
349.914551	-51.824093
355.297852	-53.175903
360.681152	-49.927795
366.064453	-54.876015
371.447754	-46.043320
376.831055	-50.253147
382.214355	-39.351418
387.597656	-42.805801
392.980957	-51.827614
398.364258	-50.252560
403.747559	-50.760624
409.130859	-52.418499
414.514160	-50.077824
419.897461	-38.240147
425.280762	-37.885342
430.664062	-45.942310
436.047363	-52.414078
441.430664	-50.679562
446.813965	-48.040138
452.197266	-49.378147
457.580566	-54.660160
462.963867	-53.344685
468.347168	-55.132050
473.730469	-58.721157
479.113770	-64.823990
484.497070	-65.927147
489.880371	-57.582310
495.263672	-52.650578
500.646973	-52.926311
506.030273	-57.639652
511.413574	-54.366539
516.796875	-51.311462
522.180176	-51.634960
527.563477	-49.927044
532.946777	-53.801548
538.330078	-56.914806
543.713379	-56.866440
549.096680	-49.892357
554.479980	-51.761211
559.863281	-62.237499
565.246582	-51.098812
570.629883	-56.418633
576.013184	-57.207180
581.396484	-53.286396
586.779785	-53.764568
592.163086	-48.126465
597.546387	-49.120358
602.929688	-49.692299
608.312988	-48.746033
613.696289	-50.818951
619.079590	-56.318844
624.462891	-54.402855
629.846191	-51.217007
635.229492	-58.053143
640.612793	-55.190731
645.996094	-54.864719
651.379395	-59.976654
656.762695	-59.363621
662.145996	-57.638828
667.529297	-62.494011
672.912598	-69.000687
678.295898	-61.933575
683.679199	-56.561756
689.062500	-55.620998
694.445801	-61.127754
699.829102	-68.039360
705.212402	-66.828026
710.595703	-61.332996
715.979004	-57.534859
721.362305	-61.864914
726.745605	-57.760212
732.128906	-58.332077
737.512207	-60.977947
742.895508	-59.243362
748.278809	-56.920891
753.662109	-62.453915
759.045410	-65.518158
764.428711	-62.872311
769.812012	-60.227909
775.195312	-55.371609
780.578613	-57.480083
785.961914	-58.511353
791.345215	-57.199051
796.728516	-60.869312
802.111816	-62.275215
807.495117	-61.513123
812.878418	-59.745575
818.261719	-57.960922
823.645020	-58.452190
829.028320	-61.220547
834.411621	-58.237682
839.794922	-59.586151
845.178223	-55.788921
850.561523	-55.624184
855.944824	-60.614010
861.328125	-57.409451
866.711426	-55.715900
872.094727	-61.622299
877.478027	-66.732300
882.861328	-64.283463
888.244629	-70.129120
893.627930	-63.798595
899.011230	-59.127254
904.394531	-60.978714
909.777832	-59.151894
915.161133	-54.935982
920.544434	-57.163033
925.927734	-57.744774
931.311035	-58.921581
936.694336	-60.031620
942.077637	-60.832508
947.460938	-64.675903
952.844238	-63.987629
958.227539	-66.053612
963.610840	-65.761406
968.994141	-62.716549
974.377441	-61.325768
979.760742	-57.165798
985.144043	-60.446445
990.527344	-61.672993
995.910645	-59.640259
1001.293945	-58.879196
1006.677246	-62.166084
1012.060547	-59.982914
1017.443848	-64.207512
1022.827148	-68.662064
1028.210449	-66.005493
1033.593750	-66.395203
1038.977051	-60.261013
1044.360352	-59.149757
1049.743652	-61.344410
1055.126953	-59.998810
1060.510254	-57.030701
1065.893555	-59.819496
1071.276855	-62.052563
1076.660156	-65.147522
1082.043457	-65.256706
1087.426758	-61.399193
1092.810059	-61.254765
1098.193359	-59.889099
1103.576660	-61.031902
1108.959961	-65.621078
1114.343262	-65.471359
1119.726562	-60.288673
1125.109863	-59.953922
1130.493164	-60.263447
1135.876465	-57.525753
1141.259766	-66.472816
1146.643066	-59.267036
1152.026367	-59.216343
1157.409668	-69.179665
1162.792969	-65.228508
1168.176270	-60.179939
1173.559570	-61.425442
1178.942871	-58.765739
1184.326172	-57.782845
1189.709473	-58.502037
1195.092773	-57.434898
1200.476074	-56.107655
1205.859375	-59.811424
1211.242676	-64.355278
1216.625977	-66.249313
1222.009277	-67.650658
1227.392578	-65.290405
1232.775879	-63.633884
1238.159180	-63.420593
1243.542480	-64.809799
1248.925781	-67.778000
1254.309082	-67.753868
1259.692383	-59.755196
1265.075684	-61.281776
1270.458984	-60.342106
1275.842285	-60.842670
1281.225586	-65.943085
1286.608887	-70.260353
1291.992188	-66.144318
1297.375488	-67.860901
1302.758789	-63.564640
1308.142090	-63.543541
1313.525391	-65.026581
1318.908691	-64.326256
1324.291992	-69.445679
1329.675293	-64.657272
1335.058594	-60.543449
1340.441895	-64.791649
1345.825195	-67.624802
1351.208496	-64.781113
1356.591797	-61.658928
1361.975098	-64.010094
1367.358398	-67.131943
1372.741699	-65.994316
1378.125000	-59.566261
1383.508301	-58.039001
1388.891602	-62.422466
1394.274902	-60.746754
1399.658203	-58.871704
1405.041504	-62.701302
1410.424805	-63.658398
1415.808105	-60.764194
1421.191406	-64.102753
1426.574707	-66.111015
1431.958008	-64.423218
1437.341309	-62.983986
1442.724609	-63.013069
1448.107910	-60.581779
1453.491211	-64.251694
1458.874512	-58.601063
1464.257812	-58.686356
1469.641113	-60.844860
1475.024414	-63.090797
1480.407715	-59.533840
1485.791016	-63.249222
1491.174316	-58.449165
1496.557617	-57.427414
1501.940918	-61.051815
1507.324219	-59.465374
1512.707520	-60.581177
1518.090820	-51.720863
1523.474121	-51.022194
1528.857422	-52.221794
1534.240723	-53.374199
1539.624023	-55.747105
1545.007324	-56.330879
1550.390625	-59.923759
1555.773926	-55.531963
1561.157227	-61.955723
1566.540527	-58.841377
1571.923828	-64.499878
1577.307129	-55.718742
1582.690430	-56.038361
1588.073730	-57.919373
1593.457031	-56.113731
1598.840332	-55.528164
1604.223633	-52.953598
1609.606934	-55.254452
1614.990234	-58.161129
1620.373535	-53.855671
1625.756836	-55.153683
1631.140137	-68.563179
1636.523438	-66.670181
1641.906738	-62.727047
1647.290039	-67.512207
1652.673340	-60.692307
1658.056641	-64.137550
1663.439941	-58.640244
1668.823242	-63.541832
1674.206543	-61.518101
1679.589844	-60.243275
1684.973145	-56.737495
1690.356445	-56.658352
1695.739746	-56.199104
1701.123047	-55.117859
1706.506348	-48.075729
1711.889648	-46.074028
1717.272949	-53.637730
1722.656250	-52.795654
1728.039551	-54.232769
1733.422852	-57.090000
1738.806152	-53.589958
1744.189453	-55.898758
1749.572754	-58.096191
1754.956055	-51.655071
1760.339355	-51.155502
1765.722656	-62.753922
1771.105957	-61.370270
1776.489258	-59.634712
1781.872559	-59.045082
1787.255859	-57.145786
1792.639160	-53.277809
1798.022461	-46.248028
1803.405762	-53.234867
1808.789062	-59.316021
1814.172363	-57.176407
1819.555664	-58.800037
1824.938965	-61.798164
1830.322266	-58.037128
1835.705566	-57.052155
1841.088867	-65.135399
1846.472168	-58.871037
1851.855469	-51.073532
1857.238770	-53.951813
1862.622070	-52.139801
1868.005371	-56.508698
1873.388672	-49.614151
1878.771973	-45.701591
1884.155273	-49.288330
1889.538574	-54.592251
1894.921875	-59.849457
1900.305176	-57.752499
1905.688477	-64.127045
1911.071777	-62.137764
1916.455078	-58.267712
1921.838379	-57.594765
1927.221680	-60.649632
1932.604980	-56.109287
1937.988281	-57.541454
1943.371582	-59.719852
1948.754883	-56.923676
1954.138184	-53.640305
1959.521484	-50.804718
1964.904785	-49.180389
1970.288086	-54.290966
1975.671387	-61.121418
1981.054688	-60.601162
1986.437988	-64.321022
1991.821289	-60.375500
1997.204590	-58.177963
2002.587891	-52.080292
2007.971191	-51.808952
2013.354492	-51.866405
2018.737793	-52.740742
2024.121094	-57.047291
2029.504395	-62.278519
2034.887695	-59.135151
2040.270996	-58.842991
2045.654297	-54.763092
2051.037598	-47.797359
2056.420898	-52.781738
2061.804199	-59.456993
2067.187500	-55.086403
2072.570801	-53.222221
2077.954102	-55.521618
2083.337402	-55.303715
2088.720703	-55.119438
2094.104004	-57.369549
2099.487305	-56.920177
2104.870605	-56.988789
2110.253906	-55.968922
2115.637207	-59.914650
2121.020508	-59.288765
2126.403809	-54.371971
2131.787109	-57.227875
2137.170410	-53.750313
2142.553711	-50.369740
2147.937012	-50.514069
2153.320312	-52.197681
2158.703613	-48.058338
2164.086914	-44.148666
2169.470215	-49.489006
2174.853516	-48.515049
2180.236816	-48.384533
2185.620117	-45.482254
2191.003418	-51.881649
2196.386719	-61.576088
2201.770020	-59.634354
2207.153320	-53.619713
2212.536621	-46.358521
2217.919922	-45.689972
2223.303223	-55.291740
2228.686523	-51.403961
2234.069824	-54.490707
2239.453125	-60.878620
2244.836426	-47.206917
2250.219727	-45.042023
2255.603027	-50.243343
2260.986328	-51.200874
2266.369629	-54.640755
2271.752930	-53.611767
2277.136230	-48.592293
2282.519531	-50.306942
2287.902832	-51.322678
2293.286133	-55.772186
2298.669434	-52.427792
2304.052734	-53.685768
2309.436035	-49.940170
2314.819336	-43.907181
2320.202637	-41.319988
2325.585938	-45.232445
2330.969238	-48.241199
2336.352539	-46.298790
2341.735840	-46.627979
2347.119141	-48.678856
2352.502441	-45.158302
2357.885742	-53.012032
2363.269043	-56.772079
2368.652344	-52.725899
2374.035645	-57.705605
2379.418945	-55.767860
2384.802246	-54.140621
