Frequency (Hz)	Level (dB)
5.383301	-61.732067
10.766602	-53.772884
16.149902	-57.543087
21.533203	-58.990616
26.916504	-46.087212
32.299805	-40.430729
37.683105	-38.698650
43.066406	-36.426132
48.449707	-33.181850
53.833008	-28.376162
59.216309	-23.330633
64.599609	-21.201715
69.982910	-21.135963
75.366211	-28.178194
80.749512	-42.479248
86.132812	-33.877327
91.516113	-29.980742
96.899414	-34.556519
102.282715	-24.584478
107.666016	-23.228315
113.049316	-17.207493
118.432617	-15.260224
123.815918	-16.068565
129.199219	-22.023722
134.582520	-26.901936
139.965820	-36.553810
145.349121	-33.862411
150.732422	-41.626610
156.115723	-23.603739
161.499023	-25.860842
166.882324	-38.535435
172.265625	-32.564201
177.648926	-24.740961
183.032227	-30.942619
188.415527	-25.158228
193.798828	-20.488554
199.182129	-31.197840
204.565430	-24.716290
209.948730	-28.134764
215.332031	-36.901955
220.715332	-32.566772
226.098633	-31.785515
231.481934	-32.442249
236.865234	-44.769638
242.248535	-31.053431
247.631836	-40.513577
253.015137	-33.047722
258.398438	-32.459740
263.781738	-32.426571
269.165039	-44.167625
274.548340	-38.568222
279.931641	-39.321693
285.314941	-44.595684
290.698242	-34.865570
296.081543	-40.460442
301.464844	-41.961407
306.848145	-34.029945
312.231445	-41.306625
317.614746	-43.686798
322.998047	-45.796356
328.381348	-41.812778
333.764648	-45.663090
339.147949	-40.613750
344.531250	-38.269421
349.914551	-38.507790
355.297852	-46.124908
360.681152	-51.043667
366.064453	-50.032780
371.447754	-44.785477
376.831055	-44.256657
382.214355	-33.197079
387.597656	-34.815567
392.980957	-43.533215
398.364258	-44.742126
403.747559	-46.316040
409.130859	-51.708271
414.514160	-47.256130
419.897461	-50.374714
425.280762	-45.680042
430.664062	-50.178719
436.047363	-55.870403
441.430664	-48.617176
446.813965	-57.234119
452.197266	-52.623234
457.580566	-58.092098
462.963867	-49.351364
468.347168	-48.135323
473.730469	-52.531906
479.113770	-56.870876
484.497070	-49.322674
489.880371	-47.303371
495.263672	-51.161564
500.646973	-44.062286
506.030273	-48.724812
511.413574	-56.671310
516.796875	-51.391647
522.180176	-56.221191
527.563477	-54.313046
532.946777	-72.135849
538.330078	-55.873413
543.713379	-49.225056
549.096680	-41.862793
554.479980	-44.511894
559.863281	-56.185421
565.246582	-53.400696
570.629883	-55.061695
576.013184	-49.054882
581.396484	-57.547890
586.779785	-54.665310
592.163086	-58.721909
597.546387	-45.232349
602.929688	-50.532124
608.312988	-57.546440
613.696289	-65.758621
619.079590	-56.318375
624.462891	-53.689915
629.846191	-58.784901
635.229492	-59.699932
640.612793	-59.273754
645.996094	-58.382370
651.379395	-53.858482
656.762695	-52.709797
662.145996	-54.583839
667.529297	-61.702137
672.912598	-56.325657
678.295898	-58.649704
683.679199	-58.985317
689.062500	-58.510685
694.445801	-59.036983
699.829102	-61.327534
705.212402	-62.899925
710.595703	-51.416664
715.979004	-53.217403
721.362305	-55.985706
726.745605	-52.289192
732.128906	-57.227131
737.512207	-56.436668
742.895508	-64.938026
748.278809	-59.009579
753.662109	-63.610313
759.045410	-55.274158
764.428711	-52.165474
769.812012	-59.332058
775.195312	-56.269810
780.578613	-58.098557
785.961914	-56.343590
791.345215	-53.913216
796.728516	-55.988216
802.111816	-56.160732
807.495117	-58.326416
812.878418	-60.218735
818.261719	-68.787697
823.645020	-57.949200
829.028320	-56.603077
834.411621	-73.413872
839.794922	-66.453430
845.178223	-59.754730
850.561523	-57.092422
855.944824	-64.193810
861.328125	-67.765511
866.711426	-71.384987
872.094727	-66.101456
877.478027	-53.220146
882.861328	-57.235077
888.244629	-59.994537
893.627930	-57.147053
899.011230	-61.703880
904.394531	-62.182114
909.777832	-68.120605
915.161133	-70.899300
920.544434	-73.739166
925.927734	-62.601517
931.311035	-60.412800
936.694336	-59.478218
942.077637	-61.588478
947.460938	-57.671593
952.844238	-62.629120
958.227539	-62.733887
963.610840	-57.404842
968.994141	-57.034164
974.377441	-68.877411
979.760742	-73.352402
985.144043	-65.223557
990.527344	-73.886719
995.910645	-60.384537
1001.293945	-57.388050
1006.677246	-61.042194
1012.060547	-56.311264
1017.443848	-72.703613
1022.827148	-71.518463
1028.210449	-68.481522
1033.593750	-63.818794
1038.977051	-64.559937
1044.360352	-67.411674
1049.743652	-73.160988
1055.126953	-74.343781
1060.510254	-82.524719
1065.893555	-87.246666
1071.276855	-69.644669
1076.660156	-62.919006
1082.043457	-59.327229
1087.426758	-57.100101
1092.810059	-56.638412
1098.193359	-56.854980
1103.576660	-59.517448
1108.959961	-58.863220
1114.343262	-60.293468
1119.726562	-57.009510
1125.109863	-60.088181
1130.493164	-65.394485
1135.876465	-64.685402
1141.259766	-64.441994
1146.643066	-66.625343
1152.026367	-73.464912
1157.409668	-67.699745
1162.792969	-66.262909
1168.176270	-63.674267
1173.559570	-80.094849
1178.942871	-64.331718
1184.326172	-60.976147
1189.709473	-69.374428
1195.092773	-69.759506
1200.476074	-64.891075
1205.859375	-58.964981
1211.242676	-58.685520
1216.625977	-61.272575
1222.009277	-65.325935
1227.392578	-64.496002
1232.775879	-61.790249
1238.159180	-64.881279
1243.542480	-67.810608
1248.925781	-77.911697
1254.309082	-82.385117
1259.692383	-66.656464
1265.075684	-67.555168
1270.458984	-63.040134
1275.842285	-62.276562
1281.225586	-68.669388
1286.608887	-78.045929
1291.992188	-66.397247
1297.375488	-66.223190
1302.758789	-69.919983
1308.142090	-58.690361
1313.525391	-57.634918
1318.908691	-66.152321
1324.291992	-70.103310
1329.675293	-65.723831
1335.058594	-66.428352
1340.441895	-64.338554
1345.825195	-69.157166
1351.208496	-64.107643
