Frequency (Hz)	Level (dB)
5.383301	-68.987686
10.766602	-73.616493
16.149902	-65.853065
21.533203	-72.282768
26.916504	-65.875015
32.299805	-56.929070
37.683105	-58.384254
43.066406	-60.050125
48.449707	-56.149204
53.833008	-57.408817
59.216309	-54.544250
64.599609	-55.649670
69.982910	-65.347717
75.366211	-69.867424
80.749512	-75.157700
86.132812	-65.951851
91.516113	-64.006638
96.899414	-65.077309
102.282715	-68.177811
107.666016	-60.285549
113.049316	-64.971436
118.432617	-64.843582
123.815918	-59.646477
129.199219	-60.895363
134.582520	-58.663818
139.965820	-62.818699
145.349121	-59.700417
150.732422	-60.785042
156.115723	-58.548363
161.499023	-57.587944
166.882324	-57.355747
172.265625	-57.015358
177.648926	-57.817043
183.032227	-59.149662
188.415527	-55.249218
193.798828	-56.230923
199.182129	-59.695816
204.565430	-58.109219
209.948730	-54.375393
215.332031	-56.720634
220.715332	-60.954514
226.098633	-59.414902
231.481934	-60.335400
236.865234	-53.017143
242.248535	-53.716702
247.631836	-52.050888
253.015137	-48.831066
258.398438	-51.127281
263.781738	-51.822937
269.165039	-54.219990
274.548340	-69.518082
279.931641	-61.984367
285.314941	-52.431240
290.698242	-55.776642
296.081543	-69.147072
301.464844	-60.687969
306.848145	-59.796947
312.231445	-61.127735
317.614746	-55.611885
322.998047	-62.188217
328.381348	-61.525829
333.764648	-59.526337
339.147949	-50.191830
344.531250	-49.750515
349.914551	-53.665237
355.297852	-62.333546
360.681152	-58.167542
366.064453	-58.443493
371.447754	-58.848831
376.831055	-66.857887
382.214355	-65.681076
387.597656	-63.548164
392.980957	-58.868607
398.364258	-47.970974
403.747559	-47.790699
409.130859	-47.283054
414.514160	-47.821800
419.897461	-55.832111
425.280762	-47.317715
430.664062	-46.418453
436.047363	-51.560440
441.430664	-40.160892
446.813965	-43.800987
452.197266	-51.895061
457.580566	-55.462952
462.963867	-64.394226
468.347168	-62.943539
473.730469	-71.109657
479.113770	-65.850952
484.497070	-66.738159
489.880371	-64.356537
495.263672	-64.879494
500.646973	-69.328163
506.030273	-65.445198
511.413574	-62.768963
516.796875	-65.037048
522.180176	-68.120712
527.563477	-65.904930
532.946777	-61.416893
538.330078	-67.869865
543.713379	-67.697327
549.096680	-64.872314
554.479980	-65.140839
559.863281	-66.699921
565.246582	-68.125511
570.629883	-67.603294
576.013184	-60.530151
581.396484	-64.558731
586.779785	-70.498459
592.163086	-64.311478
597.546387	-59.249832
602.929688	-59.808533
608.312988	-64.394012
613.696289	-65.175911
619.079590	-65.733704
624.462891	-58.977318
629.846191	-61.441383
635.229492	-65.520668
640.612793	-64.411858
645.996094	-65.745148
651.379395	-74.062103
656.762695	-75.412895
662.145996	-69.307816
667.529297	-64.816612
672.912598	-70.350311
678.295898	-68.942009
683.679199	-65.614395
689.062500	-66.799477
694.445801	-66.657379
699.829102	-68.205696
705.212402	-59.859486
710.595703	-64.629021
715.979004	-64.581985
721.362305	-71.196304
726.745605	-61.267639
732.128906	-65.312981
737.512207	-71.210831
742.895508	-62.601345
748.278809	-66.549660
753.662109	-74.320984
759.045410	-70.600594
764.428711	-61.292809
769.812012	-60.203651
775.195312	-61.233570
780.578613	-67.017258
785.961914	-63.803646
791.345215	-69.888168
796.728516	-76.643578
802.111816	-70.805710
807.495117	-67.289734
812.878418	-62.609295
818.261719	-69.140022
823.645020	-66.922668
829.028320	-64.747833
834.411621	-68.995094
839.794922	-64.042618
845.178223	-63.974522
850.561523	-64.923584
855.944824	-67.148560
861.328125	-66.808060
866.711426	-67.853386
872.094727	-74.994812
877.478027	-70.040833
882.861328	-68.338699
888.244629	-65.963554
893.627930	-66.286057
899.011230	-67.022659
904.394531	-66.085732
909.777832	-62.307915
915.161133	-67.752663
920.544434	-72.532120
925.927734	-66.963707
931.311035	-69.278000
936.694336	-71.903061
942.077637	-68.997482
947.460938	-75.069389
952.844238	-73.512276
958.227539	-74.365433
963.610840	-69.300552
968.994141	-70.022980
974.377441	-77.938049
979.760742	-70.775002
985.144043	-71.061020
990.527344	-69.178970
995.910645	-64.728355
1001.293945	-68.853104
1006.677246	-71.661125
1012.060547	-68.082321
1017.443848	-67.353065
1022.827148	-66.998550
1028.210449	-67.515381
1033.593750	-70.231873
1038.977051	-67.151978
1044.360352	-75.012413
1049.743652	-70.669579
1055.126953	-74.862640
1060.510254	-74.979980
1065.893555	-74.249039
1071.276855	-80.319695
1076.660156	-73.046501
1082.043457	-73.489777
1087.426758	-72.416199
1092.810059	-76.136337
1098.193359	-63.651272
1103.576660	-62.706512
1108.959961	-73.604362
1114.343262	-78.195503
1119.726562	-82.606277
1125.109863	-72.584328
1130.493164	-71.256973
1135.876465	-75.647408
1141.259766	-75.216148
1146.643066	-70.672043
1152.026367	-66.461853
1157.409668	-60.453152
1162.792969	-59.642605
1168.176270	-68.714653
1173.559570	-70.677452
1178.942871	-68.430298
1184.326172	-65.660599
1189.709473	-64.309647
1195.092773	-63.024734
1200.476074	-72.151909
1205.859375	-73.361618
1211.242676	-60.951530
1216.625977	-55.409252
1222.009277	-60.763828
1227.392578	-68.649483
1232.775879	-63.936535
1238.159180	-66.361496
1243.542480	-68.046501
1248.925781	-72.891167
1254.309082	-69.476006
1259.692383	-77.894508
1265.075684	-70.794838
1270.458984	-65.497238
1275.842285	-68.172951
1281.225586	-73.185356
1286.608887	-74.168083
1291.992188	-64.814499
1297.375488	-60.387749
1302.758789	-65.598984
1308.142090	-69.593552
1313.525391	-73.396996
1318.908691	-72.399521
1324.291992	-68.897995
1329.675293	-66.715790
1335.058594	-73.040237
1340.441895	-68.718025
1345.825195	-68.164001
1351.208496	-66.164864
1356.591797	-66.547455
1361.975098	-65.759308
1367.358398	-63.184959
1372.741699	-63.498779
1378.125000	-68.936401
1383.508301	-77.608208
1388.891602	-65.918922
1394.274902	-64.407532
1399.658203	-69.045158
1405.041504	-71.280571
1410.424805	-66.361755
1415.808105	-66.711243
1421.191406	-69.171890
1426.574707	-71.118942
1431.958008	-66.194466
1437.341309	-58.946609
1442.724609	-57.848679
1448.107910	-66.657196
1453.491211	-63.886990
1458.874512	-64.375931
1464.257812	-73.764221
1469.641113	-68.055405
1475.024414	-63.642334
1480.407715	-68.782593
1485.791016	-70.129852
1491.174316	-69.941116
1496.557617	-69.637596
1501.940918	-71.130981
1507.324219	-69.738770
1512.707520	-65.870178
1518.090820	-65.208183
1523.474121	-64.341423
1528.857422	-64.177002
1534.240723	-62.716156
1539.624023	-68.582428
1545.007324	-60.388901
1550.390625	-62.902027
1555.773926	-68.478760
1561.157227	-66.642761
1566.540527	-69.208397
1571.923828	-72.195038
1577.307129	-71.385269
1582.690430	-75.012161
1588.073730	-69.415588
1593.457031	-72.810410
1598.840332	-70.918869
1604.223633	-66.423050
1609.606934	-65.583740
1614.990234	-64.884796
1620.373535	-68.859657
1625.756836	-66.872383
1631.140137	-67.205238
1636.523438	-71.242874
1641.906738	-74.740860
1647.290039	-70.756386
1652.673340	-65.518555
1658.056641	-63.813232
1663.439941	-64.471725
1668.823242	-64.377174
1674.206543	-65.393349
1679.589844	-64.507843
1684.973145	-66.403625
1690.356445	-65.948212
1695.739746	-69.161484
1701.123047	-65.652489
1706.506348	-68.240112
1711.889648	-70.206932
1717.272949	-66.819267
1722.656250	-66.139984
1728.039551	-77.133507
1733.422852	-79.537247
1738.806152	-95.113609
1744.189453	-69.428833
1749.572754	-75.124397
1754.956055	-64.676292
1760.339355	-67.514404
1765.722656	-69.130119
1771.105957	-68.416153
1776.489258	-71.353912
1781.872559	-67.392433
1787.255859	-66.739212
1792.639160	-64.960716
1798.022461	-66.534286
1803.405762	-63.433498
1808.789062	-63.168026
1814.172363	-69.418724
1819.555664	-66.569504
1824.938965	-65.238174
1830.322266	-59.429863
1835.705566	-54.876938
1841.088867	-52.518665
1846.472168	-58.230099
1851.855469	-64.739838
1857.238770	-63.842045
1862.622070	-65.545792
1868.005371	-58.924042
1873.388672	-55.789669
1878.771973	-61.434250
1884.155273	-67.123276
1889.538574	-61.785297
1894.921875	-65.166931
1900.305176	-64.019005
1905.688477	-70.024704
1911.071777	-63.041634
1916.455078	-60.390141
1921.838379	-62.462624
1927.221680	-62.900333
1932.604980	-70.915962
1937.988281	-67.338524
1943.371582	-70.027496
1948.754883	-68.682564
1954.138184	-68.668129
1959.521484	-65.572357
1964.904785	-58.665836
1970.288086	-59.715023
1975.671387	-64.214722
1981.054688	-63.155350
1986.437988	-71.155830
1991.821289	-72.871269
1997.204590	-64.407814
2002.587891	-60.836002
2007.971191	-58.264462
2013.354492	-59.773144
2018.737793	-66.504173
2024.121094	-63.895741
2029.504395	-64.889236
2034.887695	-61.245255
2040.270996	-62.811890
2045.654297	-66.074623
2051.037598	-60.615311
2056.420898	-60.239010
2061.804199	-73.103264
2067.187500	-66.876770
2072.570801	-64.019264
2077.954102	-63.457851
2083.337402	-70.460526
2088.720703	-65.557251
2094.104004	-65.305702
2099.487305	-69.939026
2104.870605	-65.887375
2110.253906	-66.681465
2115.637207	-62.474720
2121.020508	-65.721619
2126.403809	-61.022167
2131.787109	-56.795723
2137.170410	-56.763592
2142.553711	-61.345081
2147.937012	-68.223427
2153.320312	-64.252808
2158.703613	-61.243103
2164.086914	-59.455330
2169.470215	-65.397621
2174.853516	-59.896717
2180.236816	-59.937420
2185.620117	-64.197533
2191.003418	-60.951355
2196.386719	-58.637199
2201.770020	-71.482101
2207.153320	-66.346756
2212.536621	-63.474098
2217.919922	-62.969009
2223.303223	-68.535316
2228.686523	-62.311924
2234.069824	-62.698154
2239.453125	-61.660133
2244.836426	-60.053970
2250.219727	-64.464577
2255.603027	-63.724854
2260.986328	-60.737110
2266.369629	-58.131077
2271.752930	-55.116547
2277.136230	-60.144062
2282.519531	-54.831100
2287.902832	-56.098778
2293.286133	-61.132618
2298.669434	-52.271503
2304.052734	-53.803753
2309.436035	-58.739395
2314.819336	-54.714191
2320.202637	-56.674728
2325.585938	-54.322510
2330.969238	-55.597904
2336.352539	-56.720013
2341.735840	-54.201782
2347.119141	-53.231651
2352.502441	-49.371582
2357.885742	-52.654083
2363.269043	-57.616428
2368.652344	-55.011818
2374.035645	-59.467888
2379.418945	-58.619781
2384.802246	-61.209129
2390.185547	-62.610264
2395.568848	-64.009880
2400.952148	-58.321819
2406.335449	-57.992607
2411.718750	-57.162197
2417.102051	-56.892200
2422.485352	-49.143818
2427.868652	-42.327129
2433.251953	-45.152176
2438.635254	-33.180542
2444.018555	-32.948513
2449.401855	-40.346619
2454.785156	-43.401665
2460.168457	-37.647453
2465.551758	-37.632992
2470.935059	-43.923435
2476.318359	-43.942005
2481.701660	-42.447094
2487.084961	-41.781269
2492.468262	-45.505569
2497.851562	-42.653267
2503.234863	-46.400055
2508.618164	-56.323845
2514.001465	-71.633972
2519.384766	-75.324806
2524.768066	-72.833496
2530.151367	-53.731895
2535.534668	-44.639721
2540.917969	-46.715714
2546.301270	-55.525513
2551.684570	-62.396084
2557.067871	-64.530739
2562.451172	-60.389317
2567.834473	-53.751602
2573.217773	-54.413261
2578.601074	-61.640919
2583.984375	-57.740768
2589.367676	-58.994312
2594.750977	-56.389271
2600.134277	-57.956688
2605.517578	-57.319008
2610.900879	-56.567554
2616.284180	-54.537586
2621.667480	-54.710320
2627.050781	-60.471596
2632.434082	-59.825783
2637.817383	-56.351505
2643.200684	-53.549217
2648.583984	-56.940823
2653.967285	-58.391659
2659.350586	-67.748711
2664.733887	-62.926937
2670.117188	-61.084362
2675.500488	-56.070663
2680.883789	-58.182560
2686.267090	-67.187141
2691.650391	-60.723797
2697.033691	-59.077209
2702.416992	-59.623779
2707.800293	-66.420555
2713.183594	-59.414047
2718.566895	-67.618233
2723.950195	-60.965309
2729.333496	-59.852898
2734.716797	-56.107265
2740.100098	-57.119873
2745.483398	-51.162422
2750.866699	-52.487770
2756.250000	-55.592808
2761.633301	-61.257233
2767.016602	-58.163761
2772.399902	-62.195858
2777.783203	-64.987747
2783.166504	-62.906128
2788.549805	-63.006680
2793.933105	-64.639435
2799.316406	-64.349167
2804.699707	-65.564934
2810.083008	-62.251541
2815.466309	-58.754303
2820.849609	-58.241108
2826.232910	-61.365723
2831.616211	-62.930862
2836.999512	-65.642204
2842.382812	-60.880585
2847.766113	-64.131905
2853.149414	-63.881603
2858.532715	-64.886223
2863.916016	-62.887348
2869.299316	-60.862648
2874.682617	-55.941772
2880.065918	-49.726120
2885.449219	-52.862751
2890.832520	-56.291885
2896.215820	-61.445053
