Frequency (Hz)	Level (dB)
10.766602	-61.338398
21.533203	-49.720104
32.299805	-33.955219
43.066406	-26.197979
53.833008	-22.361965
64.599609	-22.039724
75.366211	-26.635605
86.132812	-32.905308
96.899414	-37.407627
107.666016	-48.072048
118.432617	-38.804466
129.199219	-38.265099
139.965820	-36.020111
150.732422	-39.591129
161.499023	-39.981747
172.265625	-38.458607
183.032227	-39.879425
193.798828	-36.924320
204.565430	-34.982349
215.332031	-38.298500
226.098633	-30.524090
236.865234	-29.097286
247.631836	-29.949802
258.398438	-20.582920
269.165039	-19.754265
279.931641	-23.814793
290.698242	-36.877884
301.464844	-39.473366
312.231445	-41.351677
322.998047	-30.255943
333.764648	-26.961884
344.531250	-28.147598
355.297852	-34.615345
366.064453	-33.402012
376.831055	-36.034634
387.597656	-30.862438
398.364258	-30.609528
409.130859	-32.893208
419.897461	-38.550533
430.664062	-32.644581
441.430664	-29.395895
452.197266	-30.094469
462.963867	-38.914463
473.730469	-43.922928
484.497070	-40.970501
495.263672	-38.911373
506.030273	-45.016304
516.796875	-46.988220
527.563477	-38.999184
538.330078	-30.009308
549.096680	-31.032053
559.863281	-38.248352
570.629883	-27.412800
581.396484	-18.529095
592.163086	-16.032494
602.929688	-19.805788
613.696289	-32.549278
624.462891	-35.297989
635.229492	-41.737316
645.996094	-44.130768
656.762695	-37.705616
667.529297	-37.404263
678.295898	-41.962273
689.062500	-51.488583
699.829102	-41.832500
710.595703	-40.997196
721.362305	-43.101772
732.128906	-39.384087
742.895508	-33.746155
753.662109	-30.418137
764.428711	-30.158735
775.195312	-34.171368
785.961914	-46.788460
796.728516	-48.734531
807.495117	-49.665909
818.261719	-46.154846
829.028320	-42.185852
839.794922	-43.576424
850.561523	-50.125717
861.328125	-53.463326
872.094727	-50.142361
882.861328	-49.750431
893.627930	-55.809513
904.394531	-45.022034
915.161133	-43.753857
925.927734	-36.055904
936.694336	-22.582321
947.460938	-19.527754
958.227539	-25.696381
968.994141	-37.022243
979.760742	-39.084206
990.527344	-47.756748
1001.293945	-42.756435
1012.060547	-39.322773
1022.827148	-39.414398
1033.593750	-39.008575
1044.360352	-37.378937
1055.126953	-48.052185
1065.893555	-41.584991
1076.660156	-36.918633
1087.426758	-32.682434
1098.193359	-29.835587
1108.959961	-32.999439
1119.726562	-35.999378
1130.493164	-39.075562
1141.259766	-48.590355
1152.026367	-46.938538
1162.792969	-46.338341
1173.559570	-50.831333
1184.326172	-63.152466
1195.092773	-48.048454
1205.859375	-48.387249
1216.625977	-43.034054
1227.392578	-38.426498
1238.159180	-36.779514
1248.925781	-36.230209
1259.692383	-34.569614
1270.458984	-35.235958
1281.225586	-37.861835
1291.992188	-37.968983
1302.758789	-35.246536
1313.525391	-35.035427
1324.291992	-38.610672
1335.058594	-48.823864
1345.825195	-40.276745
1356.591797	-40.629883
1367.358398	-43.986668
1378.125000	-52.868252
1388.891602	-52.119118
1399.658203	-50.821304
1410.424805	-49.850376
1421.191406	-36.792091
1431.958008	-35.752270
1442.724609	-42.464264
1453.491211	-49.040936
1464.257812	-36.622101
1475.024414	-35.342907
1485.791016	-45.647644
1496.557617	-40.307934
1507.324219	-35.343830
1518.090820	-33.935909
1528.857422	-36.224133
1539.624023	-36.416050
1550.390625	-33.632484
1561.157227	-37.174145
1571.923828	-38.744316
1582.690430	-38.884056
1593.457031	-31.898613
1604.223633	-30.531284
1614.990234	-33.627621
1625.756836	-38.270432
1636.523438	-40.590382
1647.290039	-38.557297
1658.056641	-38.644577
1668.823242	-41.216278
1679.589844	-34.527245
1690.356445	-38.391006
1701.123047	-45.472149
1711.889648	-42.888092
1722.656250	-35.057613
1733.422852	-34.154213
1744.189453	-38.989079
1754.956055	-44.138306
1765.722656	-36.376019
1776.489258	-33.598656
1787.255859	-40.539059
1798.022461	-48.461666
1808.789062	-39.967945
1819.555664	-36.037769
1830.322266	-36.670002
1841.088867	-38.464275
1851.855469	-41.512222
1862.622070	-49.042427
1873.388672	-40.240498
1884.155273	-31.221354
1894.921875	-26.166943
1905.688477	-28.477915
1916.455078	-40.915550
1927.221680	-36.110592
1937.988281	-34.588154
1948.754883	-37.219078
1959.521484	-32.683784
1970.288086	-28.874344
1981.054688	-30.950951
1991.821289	-30.686161
2002.587891	-28.061758
2013.354492	-33.130619
2024.121094	-45.862766
2034.887695	-31.842171
2045.654297	-31.266951
2056.420898	-37.051342
2067.187500	-41.099800
2077.954102	-35.460300
2088.720703	-33.899117
2099.487305	-35.965996
2110.253906	-35.665119
2121.020508	-35.128197
2131.787109	-34.607574
2142.553711	-33.672314
2153.320312	-34.863869
2164.086914	-33.323280
2174.853516	-30.296152
2185.620117	-30.439871
2196.386719	-32.736897
2207.153320	-33.255508
2217.919922	-35.687355
2228.686523	-38.093082
2239.453125	-36.614452
2250.219727	-42.731827
2260.986328	-44.902344
2271.752930	-36.771378
2282.519531	-34.771679
2293.286133	-39.885895
2304.052734	-37.813850
2314.819336	-37.544762
2325.585938	-41.927887
2336.352539	-37.893307
2347.119141	-34.804462
2357.885742	-37.022648
2368.652344	-38.263351
2379.418945	-33.899132
2390.185547	-34.832043
2400.952148	-38.182571
2411.718750	-35.537342
2422.485352	-32.756481
2433.251953	-34.237556
2444.018555	-37.496246
2454.785156	-36.111710
2465.551758	-35.492359
2476.318359	-38.554108
2487.084961	-46.361679
2497.851562	-51.133724
2508.618164	-47.229218
2519.384766	-39.621540
2530.151367	-38.312790
2540.917969	-37.567127
2551.684570	-37.746441
2562.451172	-40.793915
2573.217773	-44.158592
2583.984375	-38.874317
2594.750977	-36.414375
2605.517578	-36.984936
2616.284180	-36.491955
2627.050781	-37.414932
2637.817383	-45.028522
2648.583984	-38.279251
2659.350586	-36.696186
2670.117188	-33.583668
2680.883789	-31.679205
2691.650391	-31.900145
2702.416992	-32.925182
2713.183594	-33.102207
2723.950195	-37.609692
2734.716797	-42.576599
2745.483398	-38.107304
2756.250000	-44.755146
2767.016602	-46.241768
2777.783203	-39.146744
2788.549805	-37.581158
2799.316406	-45.474438
2810.083008	-39.575993
2820.849609	-35.512917
2831.616211	-37.617100
2842.382812	-40.482658
2853.149414	-37.109657
2863.916016	-34.267044
2874.682617	-32.130768
2885.449219	-30.975481
2896.215820	-32.284248
2906.982422	-33.716934
2917.749023	-33.430851
2928.515625	-36.314468
2939.282227	-40.284637
2950.048828	-40.481022
2960.815430	-35.292549
2971.582031	-41.380184
2982.348633	-41.497620
2993.115234	-34.290977
3003.881836	-35.122658
3014.648438	-39.982571
3025.415039	-41.644718
3036.181641	-36.032768
3046.948242	-42.950783
3057.714844	-43.901020
3068.481445	-50.239883
3079.248047	-40.654213
3090.014648	-34.290321
3100.781250	-34.381020
3111.547852	-40.246075
3122.314453	-38.444260
3133.081055	-41.427898
3143.847656	-30.454546
3154.614258	-28.320663
3165.380859	-32.883675
3176.147461	-41.612598
3186.914062	-36.076729
3197.680664	-33.345158
3208.447266	-34.394569
3219.213867	-38.441837
3229.980469	-44.605915
3240.747070	-35.123009
3251.513672	-32.529465
3262.280273	-32.412762
3273.046875	-39.435417
3283.813477	-44.088379
3294.580078	-43.497566
3305.346680	-34.802399
3316.113281	-37.015442
3326.879883	-44.447346
3337.646484	-36.932579
3348.413086	-35.107147
3359.179688	-35.889484
3369.946289	-37.911724
3380.712891	-40.466606
3391.479492	-45.702332
3402.246094	-44.121090
3413.012695	-44.660568
3423.779297	-35.777298
3434.545898	-42.957916
3445.312500	-43.724419
3456.079102	-36.811836
3466.845703	-37.555508
3477.612305	-46.528671
3488.378906	-38.099873
3499.145508	-37.764477
3509.912109	-42.720406
3520.678711	-53.462135
3531.445312	-65.244057
3542.211914	-41.773258
3552.978516	-37.540924
3563.745117	-42.981789
3574.511719	-45.701328
3585.278320	-48.339939
3596.044922	-35.908974
3606.811523	-33.309059
3617.578125	-35.288952
3628.344727	-30.478580
3639.111328	-31.463291
3649.877930	-34.961857
3660.644531	-32.836395
3671.411133	-37.560223
3682.177734	-40.571308
3692.944336	-54.395706
3703.710938	-41.139549
3714.477539	-45.967602
3725.244141	-34.396523
3736.010742	-29.020704
3746.777344	-29.290091
3757.543945	-33.833813
3768.310547	-41.297829
3779.077148	-42.666065
3789.843750	-42.897278
3800.610352	-50.019554
3811.376953	-42.243732
3822.143555	-35.702599
3832.910156	-32.833858
3843.676758	-32.577675
3854.443359	-34.536480
3865.209961	-41.109764
3875.976562	-47.055096
3886.743164	-43.357952
3897.509766	-45.228046
3908.276367	-38.098042
3919.042969	-33.537308
3929.809570	-33.625942
3940.576172	-36.842228
3951.342773	-42.101460
3962.109375	-33.670231
3972.875977	-33.181732
3983.642578	-37.056095
3994.409180	-42.537895
4005.175781	-47.440746
4015.942383	-47.942764
4026.708984	-44.048817
4037.475586	-45.609882
4048.242188	-38.818840
4059.008789	-37.188061
4069.775391	-39.853870
4080.541992	-36.708992
4091.308594	-32.789082
4102.075195	-31.035389
4112.841797	-33.729198
4123.608398	-43.154724
4134.375000	-48.086811
4145.141602	-38.338623
4155.908203	-35.820232
4166.674805	-34.390720
4177.441406	-37.619301
4188.208008	-33.556549
4198.974609	-29.450518
4209.741211	-33.016773
4220.507812	-50.136852
4231.274414	-41.261787
4242.041016	-35.949982
4252.807617	-31.594679
4263.574219	-34.181114
4274.340820	-35.281216
4285.107422	-43.613159
4295.874023	-44.030022
4306.640625	-45.536011
4317.407227	-42.755672
4328.173828	-37.679901
4338.940430	-35.189339
4349.707031	-37.314255
4360.473633	-40.264343
4371.240234	-38.939632
4382.006836	-41.835773
4392.773438	-36.728325
4403.540039	-37.997353
4414.306641	-56.146206
4425.073242	-42.779728
4435.839844	-38.369446
4446.606445	-32.880222
4457.373047	-34.330956
4468.139648	-39.646107
4478.906250	-60.738682
4489.672852	-39.994484
4500.439453	-36.143242
4511.206055	-36.010239
4521.972656	-33.887436
4532.739258	-30.997511
4543.505859	-30.459578
4554.272461	-33.584335
4565.039062	-36.799168
4575.805664	-37.543274
4586.572266	-33.944412
4597.338867	-32.463062
4608.105469	-34.013138
4618.872070	-29.737965
4629.638672	-28.223766
4640.405273	-32.716652
4651.171875	-37.119377
4661.938477	-35.103794
4672.705078	-35.655823
4683.471680	-36.716034
4694.238281	-36.241295
4705.004883	-31.433332
4715.771484	-32.023388
4726.538086	-38.661526
4737.304688	-37.171780
4748.071289	-38.633984
4758.837891	-39.497879
4769.604492	-40.677135
4780.371094	-37.728596
4791.137695	-35.754116
4801.904297	-36.797016
4812.670898	-40.299294
4823.437500	-35.416977
4834.204102	-31.937029
4844.970703	-30.249910
4855.737305	-34.187798
4866.503906	-45.901226
4877.270508	-35.286312
4888.037109	-34.794430
4898.803711	-41.349812
4909.570312	-30.956659
4920.336914	-28.715582
4931.103516	-31.577263
4941.870117	-40.103882
4952.636719	-43.848644
4963.403320	-47.501823
4974.169922	-43.330296
4984.936523	-37.506966
4995.703125	-37.774864
5006.469727	-42.292675
5017.236328	-34.652245
5028.002930	-31.148886
5038.769531	-32.938950
5049.536133	-42.099579
5060.302734	-36.383152
5071.069336	-33.322762
5081.835938	-32.959381
5092.602539	-36.854027
5103.369141	-40.105778
5114.135742	-30.458920
5124.902344	-27.694942
5135.668945	-29.778542
5146.435547	-34.376205
5157.202148	-39.644814
5167.968750	-47.622982
5178.735352	-46.946545
5189.501953	-40.506649
5200.268555	-31.949514
5211.035156	-28.625431
5221.801758	-31.352434
5232.568359	-37.708038
5243.334961	-38.010258
5254.101562	-32.719032
5264.868164	-29.534273
5275.634766	-30.532303
5286.401367	-35.051079
5297.167969	-39.359760
5307.934570	-38.001839
5318.701172	-36.773521
5329.467773	-49.664543
5340.234375	-37.021553
5351.000977	-35.094490
5361.767578	-39.789486
5372.534180	-42.568081
5383.300781	-38.215969
5394.067383	-38.861546
5404.833984	-36.793507
5415.600586	-37.538975
5426.367188	-41.329140
5437.133789	-38.021130
5447.900391	-33.616776
5458.666992	-32.711376
5469.433594	-35.871761
5480.200195	-39.407642
5490.966797	-38.556416
5501.733398	-35.012310
5512.500000	-35.360191
5523.266602	-37.870667
5534.033203	-34.365677
5544.799805	-32.640781
5555.566406	-30.213783
5566.333008	-29.522295
5577.099609	-36.117817
5587.866211	-43.668934
5598.632812	-35.897263
5609.399414	-36.783989
5620.166016	-40.141098
5630.932617	-36.738976
5641.699219	-43.031052
5652.465820	-51.435413
5663.232422	-44.936607
5673.999023	-40.156673
5684.765625	-34.552174
5695.532227	-30.817263
5706.298828	-31.720982
5717.065430	-29.422890
5727.832031	-31.601418
5738.598633	-39.205070
5749.365234	-40.451965
5760.131836	-48.442623
5770.898438	-42.553062
5781.665039	-35.716530
5792.431641	-34.775471
5803.198242	-34.365421
5813.964844	-37.055870
5824.731445	-45.820324
5835.498047	-59.772312
5846.264648	-42.775406
5857.031250	-39.156883
5867.797852	-44.784546
5878.564453	-46.238750
5889.331055	-38.757072
5900.097656	-38.042755
5910.864258	-40.851433
5921.630859	-51.897308
5932.397461	-50.637020
5943.164062	-44.479431
5953.930664	-38.516121
5964.697266	-38.324772
5975.463867	-45.905598
5986.230469	-54.503670
5996.997070	-42.424149
6007.763672	-39.339905
6018.530273	-42.908749
6029.296875	-49.663738
6040.063477	-45.193943
6050.830078	-41.337746
6061.596680	-38.755276
6072.363281	-38.611469
6083.129883	-43.181889
6093.896484	-44.764992
6104.663086	-39.943787
6115.429688	-34.921726
6126.196289	-37.519039
6136.962891	-45.564068
6147.729492	-42.852009
6158.496094	-40.511765
6169.262695	-39.489735
6180.029297	-36.423508
6190.795898	-36.127747
6201.562500	-40.038246
6212.329102	-39.809284
6223.095703	-39.348454
6233.862305	-37.809181
6244.628906	-40.946033
6255.395508	-46.828590
6266.162109	-38.964005
6276.928711	-39.680481
6287.695312	-41.580379
6298.461914	-42.067791
